exec_time, invoke_time, access_time, resides_time
414.53, 5.88, 2.18, 384.69
402.97, 5.75, 2.16, 384.23
393.79, 5.79, 2.51, 381.91
425.10, 4.79, 2.23, 385.81
415.47, 4.75, 2.11, 383.14
409.34, 4.73, 2.06, 384.87
396.51, 4.62, 2.06, 382.84
392.02, 4.57, 2.06, 382.03
395.86, 5.79, 2.44, 382.05
398.01, 5.81, 2.18, 380.46
395.16, 4.63, 2.08, 381.29
413.42, 5.99, 2.47, 380.37
423.85, 4.70, 2.16, 387.72
423.70, 5.85, 2.16, 386.25
416.40, 4.69, 2.05, 385.33
416.95, 5.87, 2.14, 381.79
426.94, 4.63, 2.06, 383.11
419.21, 5.85, 2.15, 399.88
423.95, 4.59, 2.09, 386.57
401.45, 5.77, 2.36, 383.41
464.47, 5.48, 2.08, 449.80
503.96, 4.86, 2.02, 447.52
444.30, 4.65, 2.16, 415.07
432.21, 6.04, 2.25, 418.59
441.95, 4.80, 2.22, 409.14
449.95, 4.83, 2.02, 412.95
436.31, 5.85, 2.34, 418.98
415.76, 4.63, 2.03, 383.93
400.42, 5.81, 2.34, 386.31
421.93, 4.84, 2.08, 384.69
400.18, 4.71, 2.11, 380.26
402.13, 4.65, 2.09, 384.69
417.72, 4.64, 2.13, 386.63
399.54, 4.63, 2.08, 384.71
414.02, 4.67, 1.98, 382.21
396.15, 5.72, 2.09, 384.80
399.92, 4.59, 2.10, 383.80
399.93, 5.85, 2.42, 385.07
411.10, 4.73, 2.14, 386.59
416.35, 4.78, 2.00, 381.53
439.72, 4.75, 2.12, 397.26
402.53, 5.80, 2.30, 386.03
393.10, 5.76, 2.18, 382.73
393.65, 5.21, 2.11, 382.23
405.15, 4.58, 2.09, 380.87
415.68, 5.76, 2.43, 382.40
407.76, 4.64, 2.12, 380.51
429.03, 4.65, 1.98, 385.64
417.28, 4.69, 2.00, 382.13
396.01, 4.63, 1.97, 384.05
401.91, 4.84, 2.34, 386.46
411.07, 4.80, 2.16, 381.07
409.72, 4.74, 2.10, 383.90
413.81, 5.34, 2.19, 386.04
396.69, 4.59, 2.08, 383.45
422.36, 4.64, 2.09, 383.96
409.14, 5.41, 1.98, 379.56
404.82, 4.65, 2.10, 382.43
416.72, 4.64, 2.09, 384.60
398.17, 5.89, 2.45, 384.83
399.74, 4.57, 2.12, 384.50
421.13, 4.82, 2.12, 384.31
411.58, 5.84, 2.43, 382.11
425.39, 5.40, 2.37, 386.37
454.74, 4.83, 2.00, 404.99
412.39, 5.84, 2.43, 386.61
401.89, 5.79, 2.19, 387.81
399.52, 4.64, 1.96, 382.83
398.80, 7.69, 2.19, 381.61
395.74, 4.66, 2.09, 380.83
409.91, 4.59, 2.11, 379.41
431.32, 4.86, 1.97, 381.86
407.60, 4.73, 2.10, 380.24
408.35, 4.68, 1.98, 379.41
407.88, 4.67, 1.97, 378.63
392.14, 4.55, 1.94, 377.73
393.43, 4.61, 1.94, 380.44
423.86, 4.76, 1.96, 380.63
394.83, 4.61, 1.94, 383.17
407.41, 5.83, 2.43, 379.68
406.63, 4.75, 2.07, 379.15
405.17, 4.73, 2.17, 382.64
389.64, 4.61, 2.09, 379.79
415.59, 5.84, 2.20, 385.61
411.18, 4.65, 2.13, 381.53
397.60, 4.69, 2.07, 382.67
395.23, 4.69, 2.08, 380.24
414.35, 5.80, 2.07, 379.07
420.03, 4.70, 2.12, 395.12
417.78, 4.71, 1.96, 383.99
424.29, 4.75, 2.11, 381.07
417.05, 4.63, 2.14, 380.68
416.62, 4.74, 2.11, 383.40
412.65, 6.12, 2.30, 384.61
408.84, 4.68, 2.08, 381.03
404.32, 5.90, 2.04, 388.85
412.52, 5.57, 2.12, 380.14
394.91, 4.60, 2.11, 380.07
392.54, 4.59, 2.09, 380.74
397.62, 5.77, 2.16, 382.47
398.60, 5.77, 2.43, 383.89
431.76, 5.95, 2.35, 386.68
399.93, 4.60, 1.96, 383.84
402.26, 4.83, 2.31, 380.30
390.29, 4.65, 2.40, 381.99
414.10, 4.58, 2.10, 380.95
398.93, 4.61, 2.09, 385.94
405.25, 5.81, 2.34, 394.27
424.80, 4.72, 2.11, 391.18
395.23, 6.34, 2.13, 382.93
412.29, 5.85, 2.43, 382.53
460.49, 5.85, 2.54, 425.38
476.49, 5.84, 2.42, 440.50
421.76, 6.14, 2.09, 383.41
415.05, 4.87, 2.11, 382.50
414.89, 4.68, 2.14, 384.33
399.72, 4.75, 2.20, 381.64
425.48, 5.90, 2.06, 389.11
420.91, 6.20, 2.62, 392.89
420.94, 6.19, 2.10, 389.57
402.89, 4.72, 2.15, 383.61
404.76, 4.70, 2.09, 383.29
396.93, 4.63, 1.96, 384.29
408.84, 4.79, 1.97, 382.59
412.62, 5.44, 1.99, 380.07
415.85, 4.75, 2.13, 387.71
433.18, 4.74, 1.99, 392.14
418.66, 4.95, 2.16, 388.46
422.30, 5.89, 2.45, 388.22
400.24, 4.68, 1.96, 383.72
398.43, 4.67, 2.10, 381.92
416.06, 5.84, 2.07, 384.71
404.55, 5.98, 2.20, 392.13
397.00, 4.72, 2.20, 383.52
429.81, 5.95, 2.41, 385.88
427.65, 4.76, 2.13, 382.23
409.55, 4.84, 2.07, 395.73
416.08, 4.66, 1.99, 385.40
396.54, 4.60, 2.09, 385.46
399.08, 4.56, 1.99, 384.67
431.02, 4.68, 2.12, 384.34
396.54, 5.88, 2.28, 381.92
412.99, 5.82, 2.23, 383.08
397.73, 4.64, 1.98, 382.45
409.73, 4.65, 2.13, 380.32
397.45, 4.67, 2.33, 382.06
402.69, 5.80, 2.21, 381.07
401.91, 4.76, 2.03, 381.62
427.29, 4.66, 2.15, 387.93
447.29, 4.76, 2.19, 411.72
396.06, 4.66, 1.95, 384.69
405.59, 4.62, 2.09, 382.78
422.17, 4.70, 2.12, 380.82
404.01, 4.57, 2.09, 378.93
410.77, 5.81, 2.08, 381.73
397.87, 5.80, 2.29, 383.74
419.52, 4.69, 1.98, 384.08
391.54, 4.71, 2.17, 380.58
415.63, 4.73, 1.97, 382.56
393.31, 4.66, 1.96, 381.07
423.68, 5.86, 2.20, 392.98
423.40, 4.73, 2.20, 382.81
411.42, 5.79, 2.18, 382.95
422.09, 5.92, 2.45, 383.11
420.22, 6.25, 2.20, 389.28
416.12, 4.66, 2.16, 386.29
415.39, 4.64, 1.99, 382.52
400.41, 5.82, 2.45, 386.22
419.46, 5.85, 2.07, 389.38
396.32, 4.65, 2.14, 382.06
419.16, 4.68, 2.13, 385.60
413.47, 4.70, 2.11, 388.77
400.42, 5.60, 2.15, 386.45
412.64, 4.71, 2.13, 384.68
406.26, 5.71, 2.16, 384.26
396.04, 4.61, 2.01, 383.10
430.34, 4.75, 2.04, 394.36
411.79, 4.72, 2.12, 383.15
419.60, 4.66, 1.99, 387.99
391.24, 4.58, 1.95, 378.34
398.12, 4.67, 2.06, 383.61
430.06, 4.89, 2.11, 390.91
398.96, 5.12, 1.94, 386.80
412.37, 4.73, 2.12, 391.33
422.62, 4.73, 2.13, 383.15
410.98, 5.80, 2.05, 382.68
394.52, 4.64, 2.05, 380.93
416.21, 6.19, 2.48, 381.18
408.62, 5.78, 2.44, 383.68
426.63, 5.25, 1.99, 385.13
417.19, 4.72, 2.00, 386.26
417.97, 5.75, 2.20, 391.20
416.36, 5.85, 2.17, 387.75
424.72, 4.69, 2.03, 387.75
420.10, 5.82, 2.10, 391.01
420.91, 4.58, 1.98, 385.09
421.75, 4.63, 1.99, 386.12
423.85, 4.61, 2.11, 390.35
401.46, 4.54, 1.97, 387.36
425.69, 5.75, 2.15, 408.85
479.03, 4.65, 2.60, 461.97
406.64, 5.80, 2.49, 385.87
401.86, 4.74, 2.11, 384.72
418.55, 4.62, 2.13, 391.45
407.27, 4.64, 2.12, 386.48
405.01, 4.69, 2.11, 384.39
397.15, 4.67, 2.12, 384.26
438.67, 4.71, 2.01, 401.86
419.86, 5.87, 2.22, 390.43
407.93, 4.71, 2.26, 386.03
424.62, 5.91, 2.37, 383.18
432.39, 4.75, 2.12, 386.91
436.14, 5.93, 2.09, 386.17
408.62, 5.82, 2.44, 386.66
414.96, 4.61, 2.12, 389.74
396.42, 6.03, 2.45, 385.36
403.35, 7.02, 2.90, 386.76
406.74, 4.61, 2.10, 379.94
412.09, 5.86, 2.42, 379.99
403.24, 4.81, 2.10, 383.77
431.40, 4.70, 2.18, 382.22
432.68, 5.87, 2.17, 386.54
390.12, 4.63, 2.09, 378.40
398.02, 4.66, 2.09, 383.70
403.05, 4.59, 2.09, 379.02
404.25, 5.89, 2.48, 378.41
396.84, 4.57, 2.10, 386.60
401.62, 4.76, 2.13, 384.00
411.71, 5.06, 2.23, 384.17
400.48, 4.63, 2.17, 385.01
407.83, 4.76, 2.11, 383.12
436.58, 5.90, 2.21, 404.57
409.49, 4.67, 1.99, 385.47
422.79, 5.92, 2.36, 385.76
415.68, 4.74, 2.02, 380.72
394.75, 5.76, 2.05, 381.97
418.51, 4.72, 2.12, 383.91
414.35, 5.95, 2.56, 383.73
409.40, 4.74, 2.08, 380.71
420.84, 4.81, 2.38, 381.59
398.80, 4.60, 2.01, 384.60
404.12, 5.72, 2.33, 389.83
396.65, 4.55, 2.13, 386.48
396.32, 4.79, 2.14, 386.30
397.85, 6.01, 2.47, 388.17
401.52, 5.74, 2.20, 385.82
423.41, 4.73, 2.15, 387.04
421.49, 4.71, 2.02, 386.53
404.46, 5.79, 2.31, 386.60
397.38, 4.57, 2.14, 384.61
412.04, 4.66, 2.15, 384.62
418.86, 5.89, 2.49, 391.46
433.68, 5.96, 2.57, 394.99
410.93, 4.74, 2.14, 385.79
418.83, 4.70, 2.18, 387.52
413.57, 5.22, 2.25, 394.26
420.49, 4.64, 2.17, 383.72
421.97, 5.86, 2.34, 386.77
399.31, 5.64, 2.22, 387.75
413.14, 5.79, 2.40, 387.35
395.77, 4.56, 1.98, 384.60
423.41, 4.73, 2.16, 387.46
416.92, 4.69, 2.16, 384.15
400.89, 4.67, 1.99, 388.09
424.28, 4.81, 2.18, 391.66
403.73, 4.57, 1.99, 388.89
406.30, 5.93, 2.40, 391.32
436.51, 4.69, 2.16, 386.68
414.23, 4.72, 2.17, 384.80
397.64, 5.70, 2.32, 386.82
417.50, 5.93, 2.14, 386.25
400.82, 4.79, 2.12, 386.85
419.08, 4.77, 2.04, 384.95
416.90, 4.79, 2.06, 388.56
419.01, 4.71, 2.21, 386.66
411.09, 4.77, 2.03, 386.70
418.94, 5.96, 2.46, 387.16
406.86, 5.86, 2.14, 387.53
432.22, 4.79, 2.03, 402.81
423.92, 4.73, 2.16, 393.76
427.59, 4.84, 2.07, 388.70
401.94, 4.72, 2.15, 389.37
418.29, 4.68, 2.20, 388.97
424.34, 4.72, 2.14, 392.30
421.06, 4.75, 2.15, 391.38
423.38, 4.81, 2.16, 390.83
455.35, 4.86, 2.09, 424.25
475.78, 5.90, 3.13, 443.06
428.91, 5.87, 2.10, 387.86
413.25, 4.67, 2.22, 389.73
421.41, 4.67, 2.03, 387.04
406.91, 5.76, 2.31, 389.91
409.91, 4.70, 2.04, 393.43
427.54, 5.93, 2.50, 385.98
431.00, 4.71, 2.02, 397.11
401.83, 5.81, 2.23, 389.80
428.36, 4.78, 2.19, 395.31
414.39, 4.64, 2.07, 391.03
404.84, 4.67, 2.00, 387.81
445.75, 4.88, 2.20, 390.01
401.80, 5.82, 2.23, 387.93
435.72, 4.78, 2.02, 401.53
421.34, 4.78, 2.00, 384.67
400.84, 5.69, 2.05, 381.92
420.56, 5.87, 2.23, 381.35
409.32, 4.69, 2.08, 382.89
415.83, 4.75, 2.14, 383.40
416.40, 5.83, 2.20, 381.02
394.18, 5.71, 2.08, 382.08
413.12, 4.70, 2.18, 382.45
427.11, 5.88, 2.50, 384.28
418.75, 4.76, 2.00, 385.99
428.63, 4.67, 2.15, 382.79
394.60, 4.65, 2.10, 383.83
426.52, 4.66, 2.01, 384.54
401.56, 4.58, 2.17, 381.08
411.01, 4.77, 2.14, 382.71
395.18, 4.65, 1.97, 383.72
415.51, 4.62, 2.14, 383.14
410.40, 4.71, 2.13, 380.48
399.83, 5.71, 2.44, 385.79
401.68, 4.62, 2.12, 383.60
429.54, 5.94, 2.25, 383.85
416.24, 6.01, 2.20, 382.19
396.18, 5.76, 2.31, 380.87
433.71, 4.74, 2.09, 403.56
416.94, 6.02, 2.38, 386.72
415.41, 4.69, 2.01, 383.09
409.91, 5.86, 2.45, 378.83
395.94, 4.66, 1.99, 381.39
408.81, 5.82, 2.45, 385.45
403.69, 5.73, 2.19, 383.88
395.81, 4.68, 2.16, 381.43
408.52, 4.67, 1.99, 379.94
417.74, 10.31, 2.60, 382.85
393.56, 4.59, 1.99, 379.99
393.65, 5.74, 2.35, 382.16
413.91, 4.78, 2.07, 383.14
393.93, 4.64, 2.13, 380.62
423.04, 4.72, 2.15, 381.68
409.10, 4.67, 2.13, 380.33
401.03, 4.69, 2.18, 382.87
417.72, 4.66, 2.11, 384.00
413.61, 4.75, 2.13, 384.19
400.54, 5.91, 2.37, 386.25
413.99, 4.66, 2.17, 385.27
404.90, 5.75, 2.21, 381.14
393.94, 4.57, 1.98, 380.24
412.76, 5.86, 2.19, 380.49
412.18, 5.71, 2.05, 398.32
425.29, 6.04, 2.20, 385.48
400.02, 4.59, 2.10, 382.60
411.41, 5.84, 2.07, 377.54
399.27, 4.61, 2.18, 381.52
411.72, 5.50, 2.01, 385.87
392.27, 5.72, 2.44, 380.69
394.42, 4.80, 1.86, 382.84
424.78, 6.01, 2.23, 383.64
391.67, 5.87, 2.11, 379.88
415.05, 4.71, 2.04, 380.37
393.61, 6.24, 2.46, 381.03
393.54, 5.75, 2.06, 382.52
440.74, 4.72, 2.03, 384.40
415.05, 4.78, 2.00, 382.96
407.88, 4.59, 2.14, 384.76
424.36, 6.12, 2.37, 387.15
440.91, 6.06, 2.13, 384.24
404.15, 4.74, 2.01, 385.36
413.87, 4.68, 2.00, 385.86
418.77, 4.70, 2.11, 383.59
411.53, 4.77, 2.15, 382.99
413.34, 4.66, 2.12, 383.01
401.82, 5.83, 2.47, 387.38
444.75, 5.90, 2.30, 401.98
410.42, 5.83, 2.23, 384.56
424.97, 5.94, 2.23, 387.09
398.00, 4.56, 1.99, 384.92
411.72, 5.92, 2.21, 379.82
413.73, 4.67, 2.01, 382.90
406.54, 8.01, 2.15, 384.96
417.38, 4.74, 2.16, 385.37
408.82, 4.68, 2.15, 383.35
421.83, 4.75, 2.15, 382.62
395.75, 4.62, 2.00, 382.53
401.80, 6.36, 2.21, 387.12
397.12, 5.82, 2.21, 382.36
416.62, 4.75, 2.15, 386.44
431.38, 4.74, 2.15, 384.49
411.64, 4.69, 2.03, 384.26
409.40, 4.70, 2.03, 383.07
410.18, 4.62, 2.01, 383.49
398.35, 5.25, 2.13, 387.36
402.96, 4.67, 2.15, 385.93
402.11, 4.65, 2.01, 385.83
411.19, 5.77, 2.21, 388.26
420.35, 5.90, 2.36, 384.34
408.04, 4.63, 2.17, 384.36
417.06, 4.62, 2.23, 397.52
397.72, 5.70, 2.32, 382.35
430.95, 4.69, 2.16, 383.02
417.06, 4.62, 2.13, 382.92
425.30, 4.88, 2.16, 385.65
419.98, 4.72, 2.02, 383.85
402.65, 4.60, 2.08, 386.45
415.94, 4.73, 2.07, 382.65
402.35, 4.62, 2.00, 384.79
398.82, 5.84, 2.31, 384.02
401.64, 4.66, 1.97, 383.72
419.66, 4.76, 2.16, 384.39
435.41, 4.85, 2.21, 387.11
418.26, 4.56, 2.00, 383.29
415.53, 4.69, 2.03, 383.60
393.93, 4.56, 1.99, 381.69
404.50, 4.58, 2.13, 384.11
395.04, 5.69, 2.07, 381.74
421.27, 5.87, 2.34, 383.81
395.88, 5.68, 2.05, 382.27
435.64, 4.74, 2.15, 382.20
394.90, 5.71, 2.20, 385.21
421.27, 4.65, 2.07, 409.19
499.22, 5.89, 3.22, 462.24
416.45, 4.80, 2.05, 384.17
411.44, 4.69, 2.15, 383.00
395.71, 4.59, 2.13, 384.34
403.25, 5.79, 2.22, 386.88
398.45, 4.63, 2.01, 383.88
415.26, 4.78, 2.06, 386.81
405.47, 4.67, 2.15, 386.32
398.24, 4.61, 2.00, 383.38
417.57, 5.83, 2.10, 384.57
420.13, 5.85, 2.51, 386.22
405.04, 4.57, 1.98, 388.27
421.78, 5.38, 2.04, 391.88
404.84, 5.71, 2.30, 384.64
425.01, 5.83, 2.13, 384.46
423.63, 4.74, 2.02, 383.03
422.15, 5.92, 2.38, 385.21
413.78, 4.76, 2.01, 384.69
397.19, 4.62, 2.14, 384.67
410.43, 4.65, 2.02, 386.87
431.13, 4.92, 2.19, 384.54
404.74, 5.86, 2.74, 381.84
405.99, 5.86, 2.25, 383.80
398.09, 5.76, 2.33, 384.42
446.65, 4.74, 2.17, 401.26
400.21, 4.67, 2.07, 385.65
401.32, 5.91, 2.36, 384.59
417.34, 6.68, 2.17, 383.73
415.62, 6.04, 2.39, 387.54
402.53, 4.79, 2.20, 386.20
422.68, 4.67, 2.00, 384.86
426.32, 5.91, 2.40, 385.23
392.65, 4.54, 1.98, 381.65
405.77, 5.44, 2.19, 379.06
425.03, 4.92, 2.13, 378.52
393.04, 4.70, 2.02, 382.04
418.88, 5.90, 2.33, 385.76
426.85, 5.93, 2.47, 381.32
402.50, 4.63, 2.14, 383.80
401.69, 4.60, 2.16, 384.09
411.21, 5.99, 2.22, 380.96
422.43, 4.68, 2.16, 385.27
410.99, 5.83, 2.37, 382.66
410.37, 4.64, 2.15, 382.52
424.31, 5.89, 2.41, 383.15
423.55, 5.89, 2.38, 390.05
426.96, 4.72, 2.25, 387.14
395.46, 4.57, 2.00, 379.04
414.00, 4.65, 1.99, 395.98
401.41, 4.64, 1.99, 381.03
397.45, 4.64, 2.12, 382.55
405.45, 4.61, 2.05, 386.12
429.79, 4.70, 2.01, 382.89
424.08, 4.81, 2.00, 383.17
431.73, 5.93, 2.37, 386.47
416.26, 4.66, 2.13, 385.22
411.89, 4.63, 2.00, 381.09
427.84, 6.01, 2.23, 384.34
412.95, 4.70, 2.15, 383.74
419.20, 4.70, 2.20, 383.19
400.15, 5.91, 2.35, 383.26
391.65, 4.55, 2.05, 381.06
404.24, 5.90, 2.33, 382.50
413.74, 4.81, 2.15, 386.21
417.04, 4.66, 2.00, 387.19
392.62, 4.62, 2.11, 382.50
420.32, 5.82, 2.42, 400.73
424.65, 5.98, 2.55, 389.79
403.97, 4.64, 2.17, 387.47
414.49, 4.67, 2.07, 384.26
393.93, 5.69, 2.43, 381.14
396.34, 5.74, 2.30, 382.39
420.96, 4.79, 2.14, 402.82
397.53, 4.61, 1.99, 384.41
420.87, 4.77, 2.17, 383.72
393.79, 5.85, 2.06, 383.68
414.73, 4.65, 2.02, 386.06
394.74, 4.57, 2.00, 381.33
425.27, 4.91, 2.25, 382.20
411.25, 4.72, 2.02, 384.35
401.26, 4.63, 2.04, 381.96
410.82, 5.81, 2.27, 383.48
424.72, 4.73, 2.16, 382.30
393.08, 5.86, 2.29, 383.30
400.13, 4.82, 2.06, 385.13
400.87, 4.66, 2.00, 382.35
430.06, 5.92, 2.37, 385.82
423.31, 4.69, 2.15, 384.11
401.88, 5.79, 2.24, 386.79
408.51, 4.70, 2.05, 382.34
435.19, 4.83, 2.17, 384.64
405.05, 4.79, 2.19, 383.62
402.84, 4.68, 2.00, 383.64
411.84, 5.84, 2.56, 388.77
398.66, 5.85, 2.20, 383.91
403.66, 5.91, 2.31, 384.86
421.98, 6.02, 2.24, 395.00
415.87, 4.78, 2.14, 383.03
424.48, 4.69, 2.05, 381.54
419.70, 4.79, 1.99, 380.01
419.15, 5.90, 2.34, 383.10
422.27, 5.88, 2.34, 380.97
423.59, 4.72, 2.18, 380.90
411.95, 4.63, 2.02, 380.98
410.36, 4.65, 2.02, 382.83
394.28, 4.57, 2.13, 383.36
415.95, 5.90, 2.33, 383.32
390.24, 4.60, 2.14, 380.65
392.24, 4.69, 2.54, 380.76
396.46, 5.20, 2.20, 382.55
394.37, 4.63, 2.13, 381.00
422.11, 5.94, 2.49, 385.09
408.12, 4.82, 2.14, 382.31
395.68, 4.66, 2.11, 380.64
420.49, 4.75, 2.01, 380.79
402.57, 4.63, 2.14, 381.37
421.19, 4.73, 2.17, 380.27
400.17, 4.65, 2.24, 386.40
410.72, 5.82, 2.23, 386.90
401.00, 4.70, 2.19, 389.54
454.71, 5.68, 2.56, 418.29
438.89, 5.86, 2.67, 416.75
440.35, 4.71, 2.22, 410.81
423.93, 4.67, 2.18, 409.44
444.85, 4.73, 2.22, 413.30
440.32, 4.75, 2.20, 409.62
452.40, 5.96, 2.43, 412.31
436.68, 4.76, 2.20, 410.84
442.03, 4.91, 2.43, 418.12
433.60, 5.95, 2.56, 413.21
456.21, 4.85, 2.23, 417.05
429.00, 5.84, 2.14, 411.09
424.46, 5.74, 2.28, 413.04
447.56, 4.75, 2.19, 413.66
440.47, 5.90, 2.53, 410.94
431.60, 5.84, 2.48, 414.97
463.12, 4.71, 2.08, 411.23
461.75, 4.76, 2.05, 413.71
421.38, 4.56, 2.04, 409.71
428.92, 4.71, 2.20, 411.53
445.65, 4.70, 2.17, 409.76
446.33, 4.76, 2.20, 409.65
456.57, 6.00, 2.16, 429.71
453.66, 5.95, 2.37, 415.21
447.79, 4.73, 2.09, 415.35
427.70, 4.64, 2.04, 409.63
432.06, 4.70, 2.21, 411.09
